grp,tax,den,div
8,82,19695.65217,3.701952791
8,56,9217.391304,3.32496036
8,92,31260.86957,3.360735857
8,76,16913.04348,3.363040726
8,50,8086.956522,3.364888594
8,41,6304.347826,3.223893122
8,39,4608.695652,3.354098369
8,63,26913.04348,3.094313301
8,76,26869.56522,3.145427518
8,49,13086.95652,3.030066476
8,81,49043.47826,2.706229183
8,30,3130.434783,3.010808061
8,55,19695.65217,2.93305345
8,70,13869.56522,3.524212092
8,65,13043.47826,3.450172487
8,62,9000,3.687411075
8,56,13217.3913,2.898049586
8,12,1043.478261,2.26037209
8,37,5478.26087,2.357294979
9,72,23782.6087,3.037529265
9,84,30217.3913,2.772741435
9,74,25695.65217,2.84817259
9,63,12478.26087,3.565492813
9,77,22391.30435,3.343093506
9,79,20043.47826,3.60764945
9,42,7260.869565,3.264528521
9,60,18260.86957,3.125787643
9,52,9565.217391,3.134200835
9,59,16000,3.31064974
9,48,8913.043478,3.112117235
9,47,7739.130435,3.068445175
9,52,17217.3913,3.079962104
9,67,17086.95652,3.330048729
9,45,12913.04348,2.99839863
9,81,18956.52174,3.625722908
9,78,16913.04348,3.603733271
9,78,12913.04348,3.791959962
9,59,11391.30435,3.383319798
9,57,13130.43478,3.198758658
9,49,14086.95652,2.844591063
9,40,6913.043478,2.997695157
9,39,7913.043478,2.76335249
9,34,4478.26087,3.153370922
9,58,10000,3.387447725
9,64,17608.69565,3.112614925
9,62,18434.78261,2.794212566
9,62,19565.21739,2.765419896
9,58,16217.3913,2.868449715
9,51,12652.17391,2.674316244
9,51,9608.695652,3.167851226
9,51,19130.43478,2.575627178
9,46,14521.73913,2.671901718
9,67,14826.08696,3.542059666
9,71,12826.08696,3.387395056
9,50,10826.08696,3.170891217
10,108,23913.04348,3.924171124
10,94,22913.04348,3.562817308
10,74,17521.73913,3.315385189
10,47,6000,3.363912648
10,58,7173.913043,3.578129802
10,65,10434.78261,3.643000127
10,35,3565.217391,3.254955094
10,42,4434.782609,3.370252837
10,51,6739.130435,3.491767097
10,42,4260.869565,3.368512305
10,42,4173.913043,3.255151376
10,36,4695.652174,3.054122043
10,66,19826.08696,2.867761381
10,63,13826.08696,3.182985572
10,65,16826.08696,3.059836905
10,31,2782.608696,3.104451927
10,28,2739.130435,2.932447553
10,35,4434.782609,3.024566742
10,70,31913.04348,2.208896759
10,71,45391.30435,2.281424786
10,79,35217.3913,2.901558781
10,58,26521.73913,2.762337998
10,71,20608.69565,3.263935894
10,72,23521.73913,3.052914176
10,61,9217.391304,3.447011053
10,35,5695.652174,2.840953655
10,48,8695.652174,3.133028706
10,44,8956.521739,2.895364177
10,59,11260.86957,3.226954669
10,42,6260.869565,2.921867187
10,84,16695.65217,3.513850208
10,51,5652.173913,3.531353724
10,45,6565.217391,3.310078559
10,91,40739.13043,3.300685479
10,76,32565.21739,3.299013835
10,85,39826.08696,3.045271208
11,82,20652.17391,3.559640734
11,85,17478.26087,3.703170694
11,84,16695.65217,3.614204975
11,99,27391.30435,3.317110965
11,72,14130.43478,3.656544443
11,98,45695.65217,3.171231784
11,63,17217.3913,2.888904947
11,64,18086.95652,3.028944047
11,88,77913.04348,2.480496491
11,56,7652.173913,3.589177671
11,58,8869.565217,3.531092178
11,70,8521.73913,3.803689063
11,86,16304.34783,3.696419176
11,85,28869.56522,3.459548161
11,72,14130.43478,3.525406245
11,64,8173.913043,3.607365172
11,39,3521.73913,3.391940629
11,45,7739.130435,3.294736237
11,44,10217.3913,3.032873226
11,56,23043.47826,2.779500309
11,36,4956.521739,3.113985359
11,62,9086.956522,3.51612916
11,51,8608.695652,3.334086284
11,55,7956.521739,3.492134946
11,53,8521.73913,3.24493895
11,44,6304.347826,3.040693793
11,50,9173.913043,3.204469342
11,72,11000,3.687753817
11,64,9739.130435,3.515096528
11,61,9391.304348,3.577770389
11,45,7304.347826,2.989284618
11,45,7086.956522,3.016484975
11,57,8391.304348,3.537494456
11,81,25782.6087,3.414778217
11,93,44565.21739,3.328332645
11,79,20956.52174,3.674403309
12,66,8260.869565,3.617160974
12,69,11695.65217,3.578912126
12,29,3304.347826,2.880680297
12,63,8217.391304,3.582512794
12,54,8173.913043,3.223328633
12,66,10478.26087,3.577007121
12,68,8739.130435,3.767752289
12,38,4391.304348,3.39840423
12,52,6347.826087,3.457140211
12,28,3173.913043,2.902296223
12,39,4260.869565,3.356372214
12,54,5478.26087,3.622299381
12,89,27173.91304,3.420094142
12,75,10608.69565,3.786516474
12,40,4608.695652,3.164740578
12,60,8956.521739,3.413818384
12,75,16217.3913,3.423168217
12,44,8826.086957,3.255331558
12,50,17652.17391,2.981507775
12,42,4434.782609,3.253731999
12,63,37913.04348,2.239182112
12,69,27260.86957,2.524552638
12,72,33043.47826,2.215073834
12,81,33391.30435,3.047240162
12,73,20000,3.35712444
12,78,26000,3.405626388
12,102,26956.52174,3.41679123
12,81,18956.52174,3.508548403
12,89,35000,3.423090136
12,103,85217.3913,3.065848466
12,75,42478.26087,2.430381675
12,76,21086.95652,2.849225628
12,47,4869.565217,3.408086879
12,66,58913.04348,2.182734216
12,74,48260.86957,2.22353187
12,88,67565.21739,2.150985025
