Abiotrophia_defectiva
Achromobacter_Genus_probe
Acinetobacter_Genus_probe
Acinetobacter_baumannii
Acinetobacter_sp_oral_taxon_408
Actinobaculum_sp_oral_taxon_183
Actinomyces_Genus_probe_1
Actinomyces_Genus_probe_2
Actinomyces_Genus_probe_3
Actinomyces_Genus_probe_4
Actinomyces_cardiffensis
Actinomyces_georgiae
Actinomyces_gerencseriae
Actinomyces_graevenitzii
Actinomyces_israelii
Actinomyces_johnsonii
Actinomyces_massiliensis
Actinomyces_meyeri
Actinomyces_naeslundii
Actinomyces_odontolyticus
Actinomyces_oricola
Actinomyces_radicidentis
Actinomyces_sp_oral_taxon_169
Actinomyces_sp_oral_taxon_170
Actinomyces_sp_oral_taxon_171
Actinomyces_sp_oral_taxon_172
Actinomyces_sp_oral_taxon_175
Actinomyces_sp_oral_taxon_178
Actinomyces_sp_oral_taxon_180
Actinomyces_sp_oral_taxon_181
Actinomyces_sp_oral_taxon_414
Actinomyces_sp_oral_taxon_446
Actinomyces_sp_oral_taxon_448
Actinomyces_sp_oral_taxon_525
Actinomyces_sp_oral_taxon_848
Actinomyces_sp_oral_taxon_877
Actinomyces_sp_oral_taxon_896
Actinomyces_sp_oral_taxon_897
Actinomyces_timonensis
Actinomyces_viscosus
Aggregatibacter_Genus_probe_1
Aggregatibacter_Genus_probe_2
Aggregatibacter_actinomycetemcomitans
Aggregatibacter_paraphrophilus
Aggregatibacter_sp_oral_taxon_458
Aggregatibacter_sp_oral_taxon_512
Aggregatibacter_sp_oral_taxon_513
Agrobacterium_tumefaciens
Alloiococcus_otitis
Alloprevotella_Genus_probe
Alloprevotella_rava
Alloprevotella_sp_oral_taxon_308
Alloprevotella_sp_oral_taxon_473
Alloprevotella_sp_oral_taxon_474
Alloprevotella_sp_oral_taxon_912
Alloprevotella_sp_oral_taxon_913
Alloprevotella_sp_oral_taxon_914
Alloprevotella_tannerae
Alloscardovia_omnicolens
Anaerococcus_Genus_probe_1
Anaerococcus_Genus_probe_2
Anaerococcus_lactolyticus
Anaeroglobus_geminatus
Aquamicrobium_Genus_probe
Aquamicrobium_lusatiense
Arcanobacterium_Genus_probe
Arcanobacterium_haemolyticum
Arsenicicoccus_sp_oral_taxon_190
Atopobium_Genus_probe
Atopobium_minutum
Atopobium_parvulum
Atopobium_rimae
Atopobium_sp_oral_taxon_199
Atopobium_sp_oral_taxon_416
Atopobium_sp_oral_taxon_810
Atopobium_vaginae
Bacillus_clausii
Bacteroidaceae[G-1]_sp_oral_taxon_272
Bacteroidales[G-2]_sp_oral_taxon_274
Bacteroidales[G-3]_sp_oral_taxon_911
Bacteroides_Genus_probe
Bacteroides_heparinolyticus
Bacteroides_tectus
Bacteroides_zoogleoformans
Bacteroidetes[G-3]_Genus_probe
Bacteroidetes[G-3]_sp_oral_taxon_280
Bacteroidetes[G-3]_sp_oral_taxon_281
Bacteroidetes[G-3]_sp_oral_taxon_365
Bacteroidetes[G-3]_sp_oral_taxon_436
Bacteroidetes[G-3]_sp_oral_taxon_503
Bacteroidetes[G-3]_sp_oral_taxon_899
Bacteroidetes[G-4]_sp_oral_taxon_509
Bacteroidetes[G-5]_Genus_probe
Bacteroidetes[G-5]_sp_oral_taxon_505
Bacteroidetes[G-5]_sp_oral_taxon_507
Bacteroidetes[G-5]_sp_oral_taxon_511
Bacteroidetes[G-6]_sp_oral_taxon_516
Bartonella_Genus_probe
Bdellovibrio_sp_oral_taxon_039
Bergeyella_sp_oral_taxon_319
Bergeyella_sp_oral_taxon_322
Bergeyella_sp_oral_taxon_900
Bergeyella_sp_oral_taxon_907
Bifidobacteriaceae[G-2]_sp_oral_taxon_407
Bifidobacterium_Genus_probe_1
Bifidobacterium_Genus_probe_2
Bifidobacterium_animalis_subsp_animalis
Bifidobacterium_animalis_subsp_lactis
Bifidobacterium_breve
Bifidobacterium_dentium
Bifidobacterium_longum
Bifidobacterium_scardovii
Bordetella_Genus_probe
Brevundimonas_Genus_probe
Brevundimonas_diminuta
Bulleidia_extructa
Burkholderia_Genus_probe
Butyrivibrio_sp_oral_taxon_094
Campylobacter_Genus_probe_1
Campylobacter_Genus_probe_2
Campylobacter_concisus
Campylobacter_curvus
Campylobacter_gracilis
Campylobacter_sp_oral_taxon_044
Campylobacter_sputorum
Campylobacter_ureolyticus
Capnocytophaga_Genus_probe_1
Capnocytophaga_Genus_probe_2
Capnocytophaga_Genus_probe_3
Capnocytophaga_gingivalis
Capnocytophaga_granulosa
Capnocytophaga_haemolytica
Capnocytophaga_leadbetteri
Capnocytophaga_ochracea
Capnocytophaga_sp_oral_taxon_323
Capnocytophaga_sp_oral_taxon_324
Capnocytophaga_sp_oral_taxon_332
Capnocytophaga_sp_oral_taxon_334
Capnocytophaga_sp_oral_taxon_335
Capnocytophaga_sp_oral_taxon_336
Capnocytophaga_sp_oral_taxon_338
Capnocytophaga_sp_oral_taxon_380
Capnocytophaga_sp_oral_taxon_412
Capnocytophaga_sp_oral_taxon_863
Capnocytophaga_sp_oral_taxon_864
Capnocytophaga_sp_oral_taxon_878
Capnocytophaga_sp_oral_taxon_901
Capnocytophaga_sp_oral_taxon_902
Capnocytophaga_sp_oral_taxon_903
Capnocytophaga_sputigena
Cardiobacterium_Genus_probe
Cardiobacterium_hominis
Cardiobacterium_valvarum
Catonella_Genus_probe
Catonella_sp_oral_taxon_451
Caulobacter_sp_oral_taxon_002
Centipeda_periodontii
Chlamydophila_Genus_probe
Chlamydophila_pneumoniae
Chloroflexi[G-1]_sp_oral_taxon_439
Clostridiales[F-1][G-1]_sp_oral_taxon_093
Clostridiales[F-1][G-2]_sp_oral_taxon_402
Clostridiales[F-2][G-1]_sp_oral_taxon_075
Clostridiales[F-2][G-2]_sp_oral_taxon_085
Clostridiales[F-2][G-3]_sp_oral_taxon_366
Clostridiales[F-2][G-3]_sp_oral_taxon_381
Clostridiales[F-3][G-1]_sp_oral_taxon_876
Corynebacterium_Genus_probe
Corynebacterium_diphtheriae
Corynebacterium_durum
Corynebacterium_matruchotii
Corynebacterium_mucifaciens
Corynebacterium_sp_oral_taxon_184
Corynebacterium_urealyticum
Cryptobacterium_curtum
Delftia_acidovorans
Desulfobulbus_Genus_probe
Desulfobulbus_sp_oral_taxon_041
Desulfomicrobium_orale
Desulfovibrio_fairfieldensis
Desulfovibrio_sp_oral_taxon_040
Dialister_Genus_probe_1
Dialister_Genus_probe_2
Dialister_invisus
Dialister_micraerophilus
Dialister_pneumosintes
Dialister_sp_oral_taxon_119
Dialister_sp_oral_taxon_502
Dietzia_Genus_probe
Dietzia_sp_oral_taxon_368
Dolosigranulum_pigrum
Eggerthella_Genus_probe
Eggerthella_lenta
Eggerthia_catenaformis
Eikenella_corrodens
Eikenella_sp_oral_taxon_011
Enterococcus_Genus_probe_1
Enterococcus_Genus_probe_2
Enterococcus_Genus_probe_3
Enterococcus_faecalis
Erysipelothrichaceae[G-1]_sp_oral_taxon_904
Erysipelothrichaceae[G-1]_sp_oral_taxon_905
Erysipelothrichaceae_Genus_probe
Erysipelothrix_Genus_probe
Erysipelothrix_tonsillarum
Erythromicrobium_ramosum
Escherichia_Genus_probe
Eubacterium[11][G-1]_infirmum
Eubacterium[11][G-1]_sulci
Eubacterium[11][G-3]_brachy
Eubacterium[11][G-5]_saphenum
Eubacterium[11][G-6]_minutum
Eubacterium[11][G-6]_nodatum
Eubacterium[11][G-7]_yurii
Eubacterium_Genus_probe_1
Eubacterium_Genus_probe_2
Eubacterium_limosum
Filifactor_Genus_probe
Filifactor_alocis
Finegoldia_magna
Flavobacteriales[G-1]_sp_oral_taxon_318
Flavobacteriales[G-1]_sp_oral_taxon_321
Flavobacteriales[G-2]_sp_oral_taxon_320
Fretibacterium_Genus_probe_1
Fretibacterium_Genus_probe_2
Fretibacterium_Genus_probe_3
Fretibacterium_fastidiosum
Fretibacterium_sp_oral_taxon_360
Fretibacterium_sp_oral_taxon_361
Fretibacterium_sp_oral_taxon_362
Fusobacterium_Genus_probe_1
Fusobacterium_Genus_probe_2
Fusobacterium_Genus_probe_3
Fusobacterium_Genus_probe_4
Fusobacterium_gonidiaformans
Fusobacterium_necrophorum
Fusobacterium_nucleatum_subsp_animalis
Fusobacterium_nucleatum_subsp_nucleatum
Fusobacterium_nucleatum_subsp_polymorphum
Fusobacterium_nucleatum_subsp_vincentii
Fusobacterium_periodonticum
Fusobacterium_sp_oral_taxon_205
GN02[G-1]_sp_oral_taxon_871
GN02[G-1]_sp_oral_taxon_872
GN02[G-2]_sp_oral_taxon_873
Gardnerella_vaginalis
Gemella_Genus_probe
Gemella_bergeri
Gemella_haemolysans
Gemella_morbillorum
Gemella_sanguinis
Granulicatella_Genus_probe
Granulicatella_elegans
Haemophilus_Genus_probe_1
Haemophilus_Genus_probe_2
Haemophilus_Genus_probe_3
Haemophilus_ducreyi
Haemophilus_parahaemolyticus
Haemophilus_parainfluenzae
Haemophilus_sp_oral_taxon_035
Helicobacter_Genus_probe
Helicobacter_pylori
Johnsonella_Genus_probe
Johnsonella_ignava
Johnsonella_sp_oral_taxon_166
Jonquetella_anthropi
Kingella_Genus_probe_1
Kingella_Genus_probe_2
Kingella_kingae
Kingella_oralis
Kingella_sp_oral_taxon_459
Kytococcus_Genus_probe
Lachnoanaerobaculum_Genus_probe
Lachnoanaerobaculum_orale
Lachnoanaerobaculum_saburreum
Lachnoanaerobaculum_sp_oral_taxon_083
Lachnoanaerobaculum_sp_oral_taxon_089
Lachnoanaerobaculum_sp_oral_taxon_496
Lachnoanaerobaculum_umeaense
Lachnospiraceae[G-2]_sp_oral_taxon_088
Lachnospiraceae[G-2]_sp_oral_taxon_096
Lachnospiraceae[G-3]_sp_oral_taxon_100
Lachnospiraceae[G-5]_sp_oral_taxon_080
Lachnospiraceae[G-5]_sp_oral_taxon_455
Lachnospiraceae[G-6]_sp_oral_taxon_090
Lachnospiraceae[G-7]_sp_oral_taxon_086
Lachnospiraceae[G-7]_sp_oral_taxon_163
Lachnospiraceae[G-8]_sp_oral_taxon_500
Lactobacillus_Genus_probe_1
Lactobacillus_Genus_probe_2
Lactobacillus_Genus_probe_3
Lactobacillus_Genus_probe_4
Lactobacillus_Genus_probe_5
Lactobacillus_brevis
Lactobacillus_coleohominis
Lactobacillus_fermentum
Lactobacillus_iners
Lactobacillus_jensenii
Lactobacillus_kisonensis
Lactobacillus_parafarraginis
Lactobacillus_reuteri
Lactobacillus_salivarius
Lactobacillus_sp_oral_taxon_052
Lactobacillus_vaginalis
Lactococcus_lactis
Lautropia_mirabilis
Leptothrix_sp_oral_taxon_024
